tag,number,title,link,acceptance,difficulty,tags
Array,149,Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line,21.60%,Hard,
Array,150,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation,44.00%,Medium,
Array,152,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray,34.90%,Medium,
Array,153,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,48.40%,Medium,
Array,154,Find Minimum in Rotated Sorted Array II,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii,43.40%,Hard,
Array,162,Find Peak Element,https://leetcode.com/problems/find-peak-element,46.20%,Medium,
Array,163,Missing Ranges,https://leetcode.com/problems/missing-ranges,31.90%,Easy,
Array,164,Maximum Gap,https://leetcode.com/problems/maximum-gap,42.50%,Hard,
Array,167,Two Sum II - Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,60.00%,Medium,
Array,169,Majority Element,https://leetcode.com/problems/majority-element,63.70%,Easy,
Array,170,Two Sum III - Data structure design,https://leetcode.com/problems/two-sum-iii-data-structure-design,37.20%,Easy,
Array,174,Dungeon Game,https://leetcode.com/problems/dungeon-game,37.20%,Hard,
Array,188,Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,37.70%,Hard,
Array,189,Rotate Array,https://leetcode.com/problems/rotate-array,39.10%,Medium,
Array,198,House Robber,https://leetcode.com/problems/house-robber,48.50%,Medium,
Array,200,Number of Islands,https://leetcode.com/problems/number-of-islands,56.00%,Medium,
Array,204,Count Primes,https://leetcode.com/problems/count-primes,33.10%,Medium,
Array,209,Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum,44.30%,Medium,
Array,212,Word Search II,https://leetcode.com/problems/word-search-ii,37.00%,Hard,
Array,213,House Robber II,https://leetcode.com/problems/house-robber-ii,40.60%,Medium,
Array,215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array,65.60%,Medium,
Array,216,Combination Sum III,https://leetcode.com/problems/combination-sum-iii,67.00%,Medium,
Array,217,Contains Duplicate,https://leetcode.com/problems/contains-duplicate,61.20%,Easy,
Array,218,The Skyline Problem,https://leetcode.com/problems/the-skyline-problem,41.50%,Hard,
Array,219,Contains Duplicate II,https://leetcode.com/problems/contains-duplicate-ii,40.90%,Easy,
Array,220,Contains Duplicate III,https://leetcode.com/problems/contains-duplicate-iii,21.80%,Hard,
Array,221,Maximal Square,https://leetcode.com/problems/maximal-square,44.40%,Medium,
Array,228,Summary Ranges,https://leetcode.com/problems/summary-ranges,46.70%,Easy,
Array,229,Majority Element II,https://leetcode.com/problems/majority-element-ii,43.90%,Medium,
Array,238,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self,64.60%,Medium,
Array,239,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum,46.60%,Hard,
Array,240,Search a 2D Matrix II,https://leetcode.com/problems/search-a-2d-matrix-ii,50.50%,Medium,
Array,243,Shortest Word Distance,https://leetcode.com/problems/shortest-word-distance,64.90%,Easy,
Array,244,Shortest Word Distance II,https://leetcode.com/problems/shortest-word-distance-ii,60.60%,Medium,
Array,245,Shortest Word Distance III,https://leetcode.com/problems/shortest-word-distance-iii,57.40%,Medium,
Array,247,Strobogrammatic Number II,https://leetcode.com/problems/strobogrammatic-number-ii,51.40%,Medium,
Array,248,Strobogrammatic Number III,https://leetcode.com/problems/strobogrammatic-number-iii,41.70%,Hard,
Array,249,Group Shifted Strings,https://leetcode.com/problems/group-shifted-strings,64.20%,Medium,
Array,251,Flatten 2D Vector,https://leetcode.com/problems/flatten-2d-vector,48.90%,Medium,
Array,252,Meeting Rooms,https://leetcode.com/problems/meeting-rooms,57.00%,Easy,
Array,253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii,50.40%,Medium,
Array,254,Factor Combinations,https://leetcode.com/problems/factor-combinations,48.80%,Medium,
Array,256,Paint House,https://leetcode.com/problems/paint-house,60.40%,Medium,
Array,259,3Sum Smaller,https://leetcode.com/problems/3sum-smaller,50.60%,Medium,
Array,260,Single Number III,https://leetcode.com/problems/single-number-iii,67.40%,Medium,
Array,265,Paint House II,https://leetcode.com/problems/paint-house-ii,52.10%,Hard,
Array,268,Missing Number,https://leetcode.com/problems/missing-number,61.40%,Easy,
Array,269,Alien Dictionary,https://leetcode.com/problems/alien-dictionary,35.20%,Hard,
Array,271,Encode and Decode Strings,https://leetcode.com/problems/encode-and-decode-strings,41.10%,Medium,
Array,274,H-Index,https://leetcode.com/problems/h-index,38.10%,Medium,
Array,275,H-Index II,https://leetcode.com/problems/h-index-ii,37.30%,Medium,
Array,280,Wiggle Sort,https://leetcode.com/problems/wiggle-sort,66.30%,Medium,
Array,281,Zigzag Iterator,https://leetcode.com/problems/zigzag-iterator,62.20%,Medium,
Array,283,Move Zeroes,https://leetcode.com/problems/move-zeroes,61.30%,Easy,
Array,284,Peeking Iterator,https://leetcode.com/problems/peeking-iterator,58.10%,Medium,
Array,286,Walls and Gates,https://leetcode.com/problems/walls-and-gates,60.10%,Medium,
Array,287,Find the Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number,59.10%,Medium,
Array,288,Unique Word Abbreviation,https://leetcode.com/problems/unique-word-abbreviation,25.20%,Medium,
Array,289,Game of Life,https://leetcode.com/problems/game-of-life,66.50%,Medium,
Array,296,Best Meeting Point,https://leetcode.com/problems/best-meeting-point,59.60%,Hard,
Array,300,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence,51.50%,Medium,
Array,302,Smallest Rectangle Enclosing Black Pixels,https://leetcode.com/problems/smallest-rectangle-enclosing-black-pixels,58.10%,Hard,
Array,303,Range Sum Query - Immutable,https://leetcode.com/problems/range-sum-query-immutable,57.80%,Easy,
Array,304,Range Sum Query 2D - Immutable,https://leetcode.com/problems/range-sum-query-2d-immutable,52.00%,Medium,
Array,305,Number of Islands II,https://leetcode.com/problems/number-of-islands-ii,39.50%,Hard,
Array,307,Range Sum Query - Mutable,https://leetcode.com/problems/range-sum-query-mutable,40.70%,Medium,
Array,308,Range Sum Query 2D - Mutable,https://leetcode.com/problems/range-sum-query-2d-mutable,42.10%,Hard,
Array,309,Best Time to Buy and Sell Stock with Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,54.30%,Medium,
Array,311,Sparse Matrix Multiplication,https://leetcode.com/problems/sparse-matrix-multiplication,67.00%,Medium,
Array,312,Burst Balloons,https://leetcode.com/problems/burst-balloons,56.80%,Hard,
Array,313,Super Ugly Number,https://leetcode.com/problems/super-ugly-number,45.80%,Medium,
Array,315,Count of Smaller Numbers After Self,https://leetcode.com/problems/count-of-smaller-numbers-after-self,42.90%,Hard,
Array,317,Shortest Distance from All Buildings,https://leetcode.com/problems/shortest-distance-from-all-buildings,43.00%,Hard,
Array,318,Maximum Product of Word Lengths,https://leetcode.com/problems/maximum-product-of-word-lengths,60.10%,Medium,
Array,322,Coin Change,https://leetcode.com/problems/coin-change,41.40%,Medium,
Array,324,Wiggle Sort II,https://leetcode.com/problems/wiggle-sort-ii,32.90%,Medium,
Array,325,Maximum Size Subarray Sum Equals k,https://leetcode.com/problems/maximum-size-subarray-sum-equals-k,49.30%,Medium,
Array,327,Count of Range Sum,https://leetcode.com/problems/count-of-range-sum,36.10%,Hard,
Array,329,Longest Increasing Path in a Matrix,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,52.00%,Hard,
Array,330,Patching Array,https://leetcode.com/problems/patching-array,39.90%,Hard,
Array,334,Increasing Triplet Subsequence,https://leetcode.com/problems/increasing-triplet-subsequence,41.70%,Medium,
Array,335,Self Crossing,https://leetcode.com/problems/self-crossing,29.30%,Hard,
Array,336,Palindrome Pairs,https://leetcode.com/problems/palindrome-pairs,35.20%,Hard,
Array,346,Moving Average from Data Stream,https://leetcode.com/problems/moving-average-from-data-stream,77.00%,Easy,
Array,347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements,64.80%,Medium,
Array,348,Design Tic-Tac-Toe,https://leetcode.com/problems/design-tic-tac-toe,57.50%,Medium,
Array,349,Intersection of Two Arrays,https://leetcode.com/problems/intersection-of-two-arrays,70.10%,Easy,
Array,350,Intersection of Two Arrays II,https://leetcode.com/problems/intersection-of-two-arrays-ii,55.50%,Easy,
Array,353,Design Snake Game,https://leetcode.com/problems/design-snake-game,38.90%,Medium,
Array,354,Russian Doll Envelopes,https://leetcode.com/problems/russian-doll-envelopes,38.40%,Hard,
Array,356,Line Reflection,https://leetcode.com/problems/line-reflection,34.60%,Medium,
Array,360,Sort Transformed Array,https://leetcode.com/problems/sort-transformed-array,54.60%,Medium,
Array,361,Bomb Enemy,https://leetcode.com/problems/bomb-enemy,50.80%,Medium,
Array,362,Design Hit Counter,https://leetcode.com/problems/design-hit-counter,68.30%,Medium,
Array,363,Max Sum of Rectangle No Larger Than K,https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k,44.10%,Hard,
Array,368,Largest Divisible Subset,https://leetcode.com/problems/largest-divisible-subset,41.20%,Medium,
Array,370,Range Addition,https://leetcode.com/problems/range-addition,70.70%,Medium,
Array,373,Find K Pairs with Smallest Sums,https://leetcode.com/problems/find-k-pairs-with-smallest-sums,38.40%,Medium,
Array,376,Wiggle Subsequence,https://leetcode.com/problems/wiggle-subsequence,48.20%,Medium,
Array,377,Combination Sum IV,https://leetcode.com/problems/combination-sum-iv,52.00%,Medium,
Array,378,Kth Smallest Element in a Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,61.60%,Medium,
Array,379,Design Phone Directory,https://leetcode.com/problems/design-phone-directory,50.80%,Medium,
Array,380,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1,52.00%,Medium,
Array,381,Insert Delete GetRandom O(1) - Duplicates allowed,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,35.70%,Hard,
Array,384,Shuffle an Array,https://leetcode.com/problems/shuffle-an-array,57.60%,Medium,
Array,391,Perfect Rectangle,https://leetcode.com/problems/perfect-rectangle,32.40%,Hard,
Array,393,UTF-8 Validation,https://leetcode.com/problems/utf-8-validation,45.20%,Medium,
Array,396,Rotate Function,https://leetcode.com/problems/rotate-function,40.30%,Medium,
Array,399,Evaluate Division,https://leetcode.com/problems/evaluate-division,59.40%,Medium,
Array,403,Frog Jump,https://leetcode.com/problems/frog-jump,43.10%,Hard,
Array,406,Queue Reconstruction by Height,https://leetcode.com/problems/queue-reconstruction-by-height,72.70%,Medium,
Array,407,Trapping Rain Water II,https://leetcode.com/problems/trapping-rain-water-ii,47.40%,Hard,
Array,410,Split Array Largest Sum,https://leetcode.com/problems/split-array-largest-sum,53.10%,Hard,
Array,413,Arithmetic Slices,https://leetcode.com/problems/arithmetic-slices,65.00%,Medium,
Array,414,Third Maximum Number,https://leetcode.com/problems/third-maximum-number,32.40%,Easy,
Array,416,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum,46.70%,Medium,
Array,417,Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow,53.80%,Medium,
Array,419,Battleships in a Board,https://leetcode.com/problems/battleships-in-a-board,74.60%,Medium,
Array,421,Maximum XOR of Two Numbers in an Array,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array,54.60%,Medium,
Array,422,Valid Word Square,https://leetcode.com/problems/valid-word-square,38.80%,Easy,
Array,425,Word Squares,https://leetcode.com/problems/word-squares,52.60%,Hard,
Array,435,Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals,49.70%,Medium,
Array,436,Find Right Interval,https://leetcode.com/problems/find-right-interval,50.30%,Medium,
Array,442,Find All Duplicates in an Array,https://leetcode.com/problems/find-all-duplicates-in-an-array,73.30%,Medium,
Array,444,Sequence Reconstruction,https://leetcode.com/problems/sequence-reconstruction,26.20%,Medium,
Array,446,Arithmetic Slices II - Subsequence,https://leetcode.com/problems/arithmetic-slices-ii-subsequence,39.80%,Hard,
Array,447,Number of Boomerangs,https://leetcode.com/problems/number-of-boomerangs,54.60%,Medium,
Array,448,Find All Numbers Disappeared in an Array,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array,59.50%,Easy,
Array,452,Minimum Number of Arrows to Burst Balloons,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons,53.10%,Medium,
Array,453,Minimum Moves to Equal Array Elements,https://leetcode.com/problems/minimum-moves-to-equal-array-elements,55.50%,Medium,
Array,454,4Sum II,https://leetcode.com/problems/4sum-ii,57.30%,Medium,
Array,455,Assign Cookies,https://leetcode.com/problems/assign-cookies,50.60%,Easy,
Array,456,132 Pattern,https://leetcode.com/problems/132-pattern,32.40%,Medium,
Array,457,Circular Array Loop,https://leetcode.com/problems/circular-array-loop,32.10%,Medium,
Array,462,Minimum Moves to Equal Array Elements II,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii,60.10%,Medium,
Array,463,Island Perimeter,https://leetcode.com/problems/island-perimeter,69.40%,Easy,
Array,465,Optimal Account Balancing,https://leetcode.com/problems/optimal-account-balancing,49.30%,Hard,
Array,472,Concatenated Words,https://leetcode.com/problems/concatenated-words,45.30%,Hard,
Array,473,Matchsticks to Square,https://leetcode.com/problems/matchsticks-to-square,40.50%,Medium,
Array,474,Ones and Zeroes,https://leetcode.com/problems/ones-and-zeroes,46.70%,Medium,
Array,475,Heaters,https://leetcode.com/problems/heaters,36.00%,Medium,
Array,477,Total Hamming Distance,https://leetcode.com/problems/total-hamming-distance,52.20%,Medium,
Array,480,Sliding Window Median,https://leetcode.com/problems/sliding-window-median,41.30%,Hard,
Array,484,Find Permutation,https://leetcode.com/problems/find-permutation,67.00%,Medium,
Array,485,Max Consecutive Ones,https://leetcode.com/problems/max-consecutive-ones,55.90%,Easy,
Array,486,Predict the Winner,https://leetcode.com/problems/predict-the-winner,50.80%,Medium,
Array,487,Max Consecutive Ones II,https://leetcode.com/problems/max-consecutive-ones-ii,49.20%,Medium,
Array,1643,Kth Smallest Instructions,https://leetcode.com/problems/kth-smallest-instructions,46.30%,Hard,
Array,491,Increasing Subsequences,https://leetcode.com/problems/increasing-subsequences,51.90%,Medium,
Array,493,Reverse Pairs,https://leetcode.com/problems/reverse-pairs,30.80%,Hard,
Array,494,Target Sum,https://leetcode.com/problems/target-sum,45.50%,Medium,
Array,495,Teemo Attacking,https://leetcode.com/problems/teemo-attacking,56.90%,Easy,
Array,496,Next Greater Element I,https://leetcode.com/problems/next-greater-element-i,71.20%,Easy,
Array,498,Diagonal Traverse,https://leetcode.com/problems/diagonal-traverse,57.90%,Medium,
Array,500,Keyboard Row,https://leetcode.com/problems/keyboard-row,68.90%,Easy,
Array,502,IPO,https://leetcode.com/problems/ipo,44.90%,Hard,
Array,503,Next Greater Element II,https://leetcode.com/problems/next-greater-element-ii,63.00%,Medium,
Array,506,Relative Ranks,https://leetcode.com/problems/relative-ranks,58.60%,Easy,
Array,2031,Count Subarrays With More Ones Than Zeros,https://leetcode.com/problems/count-subarrays-with-more-ones-than-zeros,52.80%,Medium,
Array,2036,Maximum Alternating Subarray Sum,https://leetcode.com/problems/maximum-alternating-subarray-sum,41.00%,Medium,
Array,517,Super Washing Machines,https://leetcode.com/problems/super-washing-machines,39.70%,Hard,
Array,518,Coin Change II,https://leetcode.com/problems/coin-change-ii,59.60%,Medium,
Array,1983,Widest Pair of Indices With Equal Range Sum,https://leetcode.com/problems/widest-pair-of-indices-with-equal-range-sum,53.10%,Medium,
Array,522,Longest Uncommon Subsequence II,https://leetcode.com/problems/longest-uncommon-subsequence-ii,40.40%,Medium,
Array,523,Continuous Subarray Sum,https://leetcode.com/problems/continuous-subarray-sum,27.70%,Medium,
Array,524,Longest Word in Dictionary through Deleting,https://leetcode.com/problems/longest-word-in-dictionary-through-deleting,51.20%,Medium,
Array,525,Contiguous Array,https://leetcode.com/problems/contiguous-array,46.80%,Medium,
Array,526,Beautiful Arrangement,https://leetcode.com/problems/beautiful-arrangement,64.60%,Medium,
Array,527,Word Abbreviation,https://leetcode.com/problems/word-abbreviation,60.20%,Hard,
Array,529,Minesweeper,https://leetcode.com/problems/minesweeper,65.40%,Medium,
Array,531,Lonely Pixel I,https://leetcode.com/problems/lonely-pixel-i,61.70%,Medium,
Array,532,K-diff Pairs in an Array,https://leetcode.com/problems/k-diff-pairs-in-an-array,40.70%,Medium,
Array,533,Lonely Pixel II,https://leetcode.com/problems/lonely-pixel-ii,48.30%,Medium,
Array,539,Minimum Time Difference,https://leetcode.com/problems/minimum-time-difference,56.30%,Medium,
Array,540,Single Element in a Sorted Array,https://leetcode.com/problems/single-element-in-a-sorted-array,58.50%,Medium,
Array,542,01 Matrix,https://leetcode.com/problems/01-matrix,44.10%,Medium,
Array,546,Remove Boxes,https://leetcode.com/problems/remove-boxes,47.60%,Hard,
Array,548,Split Array with Equal Sum,https://leetcode.com/problems/split-array-with-equal-sum,50.10%,Hard,
Array,1730,Shortest Path to Get Food,https://leetcode.com/problems/shortest-path-to-get-food,54.00%,Medium,
Array,553,Optimal Division,https://leetcode.com/problems/optimal-division,59.70%,Medium,
Array,554,Brick Wall,https://leetcode.com/problems/brick-wall,53.00%,Medium,
Array,555,Split Concatenated Strings,https://leetcode.com/problems/split-concatenated-strings,43.40%,Medium,
Array,560,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k,44.10%,Medium,
Array,561,Array Partition,https://leetcode.com/problems/array-partition,76.50%,Easy,
Array,562,Longest Line of Consecutive One in Matrix,https://leetcode.com/problems/longest-line-of-consecutive-one-in-matrix,50.00%,Medium,
Array,565,Array Nesting,https://leetcode.com/problems/array-nesting,56.50%,Medium,
Array,566,Reshape the Matrix,https://leetcode.com/problems/reshape-the-matrix,62.60%,Easy,
Array,568,Maximum Vacation Days,https://leetcode.com/problems/maximum-vacation-days,44.80%,Hard,
Array,573,Squirrel Simulation,https://leetcode.com/problems/squirrel-simulation,55.00%,Medium,
Array,575,Distribute Candies,https://leetcode.com/problems/distribute-candies,66.00%,Easy,
Array,581,Shortest Unsorted Continuous Subarray,https://leetcode.com/problems/shortest-unsorted-continuous-subarray,36.20%,Medium,
Array,582,Kill Process,https://leetcode.com/problems/kill-process,68.40%,Medium,
Array,587,Erect the Fence,https://leetcode.com/problems/erect-the-fence,43.20%,Hard,
Array,594,Longest Harmonious Subsequence,https://leetcode.com/problems/longest-harmonious-subsequence,53.10%,Easy,
Array,598,Range Addition II,https://leetcode.com/problems/range-addition-ii,55.00%,Easy,
Array,599,Minimum Index Sum of Two Lists,https://leetcode.com/problems/minimum-index-sum-of-two-lists,52.70%,Easy,
Array,604,Design Compressed String Iterator,https://leetcode.com/problems/design-compressed-string-iterator,39.40%,Easy,
Array,605,Can Place Flowers,https://leetcode.com/problems/can-place-flowers,33.00%,Easy,
Array,609,Find Duplicate File in System,https://leetcode.com/problems/find-duplicate-file-in-system,67.80%,Medium,
Array,611,Valid Triangle Number,https://leetcode.com/problems/valid-triangle-number,50.30%,Medium,
Array,616,Add Bold Tag in String,https://leetcode.com/problems/add-bold-tag-in-string,48.60%,Medium,
Array,621,Task Scheduler,https://leetcode.com/problems/task-scheduler,55.60%,Medium,
Array,624,Maximum Distance in Arrays,https://leetcode.com/problems/maximum-distance-in-arrays,41.70%,Medium,
Array,628,Maximum Product of Three Numbers,https://leetcode.com/problems/maximum-product-of-three-numbers,46.50%,Easy,
Array,630,Course Schedule III,https://leetcode.com/problems/course-schedule-iii,40.20%,Hard,
Array,632,Smallest Range Covering Elements from K Lists,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,60.20%,Hard,
Array,636,Exclusive Time of Functions,https://leetcode.com/problems/exclusive-time-of-functions,61.00%,Medium,
Array,638,Shopping Offers,https://leetcode.com/problems/shopping-offers,54.40%,Medium,
Array,643,Maximum Average Subarray I,https://leetcode.com/problems/maximum-average-subarray-i,43.90%,Easy,
Array,644,Maximum Average Subarray II,https://leetcode.com/problems/maximum-average-subarray-ii,35.70%,Hard,
Array,645,Set Mismatch,https://leetcode.com/problems/set-mismatch,41.40%,Easy,
Array,646,Maximum Length of Pair Chain,https://leetcode.com/problems/maximum-length-of-pair-chain,56.40%,Medium,
Array,648,Replace Words,https://leetcode.com/problems/replace-words,62.60%,Medium,
Array,654,Maximum Binary Tree,https://leetcode.com/problems/maximum-binary-tree,84.40%,Medium,
Array,656,Coin Path,https://leetcode.com/problems/coin-path,31.60%,Hard,
Array,658,Find K Closest Elements,https://leetcode.com/problems/find-k-closest-elements,46.70%,Medium,
Array,659,Split Array into Consecutive Subsequences,https://leetcode.com/problems/split-array-into-consecutive-subsequences,50.60%,Medium,
Array,661,Image Smoother,https://leetcode.com/problems/image-smoother,54.90%,Easy,
Array,665,Non-decreasing Array,https://leetcode.com/problems/non-decreasing-array,24.10%,Medium,
Array,666,Path Sum IV,https://leetcode.com/problems/path-sum-iv,59.00%,Medium,
Array,667,Beautiful Arrangement II,https://leetcode.com/problems/beautiful-arrangement-ii,59.60%,Medium,
Array,673,Number of Longest Increasing Subsequence,https://leetcode.com/problems/number-of-longest-increasing-subsequence,42.10%,Medium,
Array,674,Longest Continuous Increasing Subsequence,https://leetcode.com/problems/longest-continuous-increasing-subsequence,49.00%,Easy,
Array,675,Cut Off Trees for Golf Event,https://leetcode.com/problems/cut-off-trees-for-golf-event,34.40%,Hard,
Array,679,24 Game,https://leetcode.com/problems/24-game,49.10%,Hard,
Array,682,Baseball Game,https://leetcode.com/problems/baseball-game,73.50%,Easy,
Array,683,K Empty Slots,https://leetcode.com/problems/k-empty-slots,36.90%,Hard,
Array,689,Maximum Sum of 3 Non-Overlapping Subarrays,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays,48.80%,Hard,
Array,691,Stickers to Spell Word,https://leetcode.com/problems/stickers-to-spell-word,46.30%,Hard,
Array,695,Max Area of Island,https://leetcode.com/problems/max-area-of-island,71.60%,Medium,
Array,697,Degree of an Array,https://leetcode.com/problems/degree-of-an-array,55.80%,Easy,
